GXLC210_DTEX_50_55,2.95,2.95,2.92,2.73,2.74,2.74,2.67,2.45,2.45,2.2,2.17,1.85,1.67,1.35,,,,,,
GXLC210_DTEX_50_56,3.63,3.64,3.66,3.96,3.8,3.27,3.13,2.35,2.17,1.74,1.6,1.6,,,,,,,,
GXLC210_DTEX_50_57,2.99,3.24,3.41,3.09,3.06,3.02,2.81,2.7,2.74,2.7,2.56,2.45,2.03,1.96,1.67,1.56,1.35,1.32,1.14,
GXLC210_DTEX_50_58,2.77,3.27,3.66,3.45,3.38,3.06,2.77,2.38,2.2,1.88,1.88,1.49,1.46,1.21,,,,,,
GXLC210_DTEX_50_59,2.49,2.63,2.63,2.56,2.63,2.56,2.42,2.35,2.28,2.24,2.1,1.92,1.85,1.67,1.56,1.28,1.17,,,
GXLC210_DTEX_50_60,3.59,3.7,3.66,3.73,3.48,3.52,3.31,3.16,3.24,2.95,2.84,2.56,,,,,,,,
GXLC210_DTEX_50_61,3.09,3.27,3.38,3.52,3.45,3.31,3.09,3.13,2.77,2.67,2.28,2.13,1.74,1.71,1.35,1.17,0.89,,,
GXLC210_DTEX_50_62,2.38,2.88,2.95,3.09,3.06,3.06,2.99,2.92,2.95,2.88,2.52,2.13,1.64,1.53,,,,,,
GXLC210_DTEX_50_63,3.48,3.2,3.27,3.24,3.06,3.06,2.99,2.84,2.74,2.45,2.28,1.85,1.78,1.53,,,,,,
GXLC210_DTEX_50_64,3.06,3.27,3.63,3.59,3.47,3.38,3.24,2.92,2.81,2.24,2.06,1.67,1.49,,,,,,,
GXLC210_DTEX_50_65,2.67,2.95,3.41,3.52,3.63,3.34,3.38,3.06,2.99,2.7,2.68,2.24,,,,,,,,
GXLC210_DTEX_50_66,2.74,2.88,3.02,3.13,3.13,3.09,2.95,2.95,2.92,2.95,2.7,2.7,2.28,,,,,,,
GXLC210_DTEX_50_67,2.84,3.13,3.02,3.16,3.06,2.88,2.99,2.88,2.77,2.67,2.49,2.45,2.2,2.17,1.96,1.92,1.71,1.64,1.39,
